,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Kraftwerk,Spacelab - 2009 Remaster,39,"['dusseldorf electronic', 'early synthpop', 'electro', 'new romantic', 'new wave', 'proto-techno', 'synthpop']",space cowboy,0.527,0.751,8,-8.764,1,0.0361,0.0412,0.798,0.644,0.135,123.491,48Q7pVDuBivnR5rdf6RGYT,spotify:track:48Q7pVDuBivnR5rdf6RGYT,https://api.spotify.com/v1/tracks/48Q7pVDuBivnR5rdf6RGYT,https://api.spotify.com/v1/audio-analysis/48Q7pVDuBivnR5rdf6RGYT,357107,4
1,Brunori Sas,Colpo di pistola,38,"['folk rock italiano', 'italian adult pop', 'italian alternative', 'italian indie pop']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.552,0.593,2,-6.366,1,0.0253,0.432,0.0,0.136,0.435,128.173,2b6v8mVY8IvqTQDS5B5ijr,spotify:track:2b6v8mVY8IvqTQDS5B5ijr,https://api.spotify.com/v1/tracks/2b6v8mVY8IvqTQDS5B5ijr,https://api.spotify.com/v1/audio-analysis/2b6v8mVY8IvqTQDS5B5ijr,301933,4
2,Siouxsie and the Banshees,Spellbound,63,"['alternative rock', 'art rock', 'dream pop', 'gothic rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'uk post-punk']",october '21,0.415,0.853,7,-11.098,1,0.038,0.0107,0.000499,0.536,0.302,148.494,5Ng6UbryNd3eds2zQk9MUf,spotify:track:5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/tracks/5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/audio-analysis/5Ng6UbryNd3eds2zQk9MUf,197013,4
3,Masafumi Takada,DANGANVEGAS,18,"['japanese vgm', 'otacore']",u fucking nerd,0.555,0.902,0,-5.867,1,0.0419,0.000525,0.936,0.182,0.866,138.044,61nz9Yqd60SwyyoW6U5Dfg,spotify:track:61nz9Yqd60SwyyoW6U5Dfg,https://api.spotify.com/v1/tracks/61nz9Yqd60SwyyoW6U5Dfg,https://api.spotify.com/v1/audio-analysis/61nz9Yqd60SwyyoW6U5Dfg,286827,4
4,Macross 82-99,Night In Tokyo Pt. II,37,"['future funk', 'kawaii future bass', 'vaporwave']",ｓｈｉｂｕｙａ,0.54,0.883,1,-8.237,1,0.0557,0.00428,0.682,0.235,0.593,102.121,21Fai3HTlFEb45QLQ5jNb5,spotify:track:21Fai3HTlFEb45QLQ5jNb5,https://api.spotify.com/v1/tracks/21Fai3HTlFEb45QLQ5jNb5,https://api.spotify.com/v1/audio-analysis/21Fai3HTlFEb45QLQ5jNb5,174118,4
5,Lord Folter,Zurreal - Instrumental,1,"['german boom bap', 'german hip hop']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.634,0.266,4,-7.766,0,0.0316,0.0954,0.764,0.128,0.29,131.267,3iMc1pviZ5Yye1U2aJImLl,spotify:track:3iMc1pviZ5Yye1U2aJImLl,https://api.spotify.com/v1/tracks/3iMc1pviZ5Yye1U2aJImLl,https://api.spotify.com/v1/audio-analysis/3iMc1pviZ5Yye1U2aJImLl,128000,1
6,The Antlers,Sylvia,39,"['art pop', 'brooklyn indie', 'chamber pop', 'indie rock', 'melancholia', 'stomp and holler']",𝖑𝖆𝖘𝖙 𝖜𝖔𝖗𝖉𝖘,0.353,0.754,4,-8.063,1,0.0505,0.622,0.799,0.297,0.232,109.949,62DvXEwnUpB6zx854BT0UA,spotify:track:62DvXEwnUpB6zx854BT0UA,https://api.spotify.com/v1/tracks/62DvXEwnUpB6zx854BT0UA,https://api.spotify.com/v1/audio-analysis/62DvXEwnUpB6zx854BT0UA,327107,4
7,Belle and Sebastian,Legal Man,51,"['alternative rock', 'anti-folk', 'art rock', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'melancholia', 'pop rock', 'scottish indie', 'scottish rock', 'singer-songwriter', 'twee pop']",disco sadness,0.484,0.833,8,-6.128,1,0.125,0.0499,3.35e-06,0.083,0.669,146.631,7bs26A9QpVsAfYuE3MQfLC,spotify:track:7bs26A9QpVsAfYuE3MQfLC,https://api.spotify.com/v1/tracks/7bs26A9QpVsAfYuE3MQfLC,https://api.spotify.com/v1/audio-analysis/7bs26A9QpVsAfYuE3MQfLC,162653,4
8,Fine Before You Came,Vixi,25,"['indie rock italiano', 'italian alternative', 'italian emo', 'italian indie pop', 'italian post-hardcore', 'milan indie']",D҉E҉S҉P҉A҉I҉R҉,0.335,0.915,5,-7.027,1,0.032,1.49e-05,0.507,0.376,0.624,90.954,7MLBoJzx3MLsct1RYrVX3f,spotify:track:7MLBoJzx3MLsct1RYrVX3f,https://api.spotify.com/v1/tracks/7MLBoJzx3MLsct1RYrVX3f,https://api.spotify.com/v1/audio-analysis/7MLBoJzx3MLsct1RYrVX3f,286013,4
9,New Order,Blue Monday - 2016 Remaster,62,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",just another boring week,0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,1RSy7B2vfPi84N80QJ6frX,spotify:track:1RSy7B2vfPi84N80QJ6frX,https://api.spotify.com/v1/tracks/1RSy7B2vfPi84N80QJ6frX,https://api.spotify.com/v1/audio-analysis/1RSy7B2vfPi84N80QJ6frX,450800,4
