index,Unnamed: 0,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,Kraftwerk,Spacelab - 2009 Remaster,39,"['dusseldorf electronic', 'early synthpop', 'electro', 'new romantic', 'new wave', 'proto-techno', 'synthpop']",space cowboy,0.5179775280898877,0.7502791594761953,8,-8.764,1,0.02127291594603943,0.04136398924387906,0.8101522842639594,0.6811182701758218,0.12055850786704178,0.44633764465622866,48Q7pVDuBivnR5rdf6RGYT,spotify:track:48Q7pVDuBivnR5rdf6RGYT,https://api.spotify.com/v1/tracks/48Q7pVDuBivnR5rdf6RGYT,https://api.spotify.com/v1/audio-analysis/48Q7pVDuBivnR5rdf6RGYT,357107,4
2,2,Siouxsie and the Banshees,Spellbound,63,"['alternative rock', 'art rock', 'dream pop', 'gothic rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'uk post-punk']",october '21,0.3921348314606742,0.8538219470104558,7,-11.098,1,0.024558976132826003,0.010741452243395512,0.0005065989847715736,0.563175712569619,0.2945712201729707,0.6165418652144317,5Ng6UbryNd3eds2zQk9MUf,spotify:track:5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/tracks/5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/audio-analysis/5Ng6UbryNd3eds2zQk9MUf,197013,4
4,4,Macross 82-99,Night In Tokyo Pt. II,37,"['future funk', 'kawaii future bass', 'vaporwave']",ｓｈｉｂｕｙａ,0.5325842696629214,0.8842757080499442,1,-8.237,1,0.05517122103078519,0.004295659209195371,0.6923857868020304,0.23446543627825706,0.597790976346775,0.30086453369639204,21Fai3HTlFEb45QLQ5jNb5,spotify:track:21Fai3HTlFEb45QLQ5jNb5,https://api.spotify.com/v1/tracks/21Fai3HTlFEb45QLQ5jNb5,https://api.spotify.com/v1/audio-analysis/21Fai3HTlFEb45QLQ5jNb5,174118,4
5,5,Lord Folter,Zurreal - Instrumental,1,"['german boom bap', 'german hip hop']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.6382022471910113,0.2579433560044666,4,-7.766,0,0.013490141819439645,0.09578174352014818,0.7756345177664974,0.11761493939063011,0.28206731270188595,0.4992716133424097,3iMc1pviZ5Yye1U2aJImLl,spotify:track:3iMc1pviZ5Yye1U2aJImLl,https://api.spotify.com/v1/tracks/3iMc1pviZ5Yye1U2aJImLl,https://api.spotify.com/v1/audio-analysis/3iMc1pviZ5Yye1U2aJImLl,128000,1
6,6,The Antlers,Sylvia,39,"['art pop', 'brooklyn indie', 'chamber pop', 'indie rock', 'melancholia', 'stomp and holler']",𝖑𝖆𝖘𝖙 𝖜𝖔𝖗𝖉𝖘,0.32247191011235954,0.7533245355801441,4,-8.063,1,0.04617779315115878,0.6244974151416115,0.8111675126903554,0.3021732008299661,0.22163175992497655,0.3541524846834581,62DvXEwnUpB6zx854BT0UA,spotify:track:62DvXEwnUpB6zx854BT0UA,https://api.spotify.com/v1/tracks/62DvXEwnUpB6zx854BT0UA,https://api.spotify.com/v1/audio-analysis/62DvXEwnUpB6zx854BT0UA,327107,4
7,7,Belle and Sebastian,Legal Man,51,"['alternative rock', 'anti-folk', 'art rock', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'melancholia', 'pop rock', 'scottish indie', 'scottish rock', 'singer-songwriter', 'twee pop']",disco sadness,0.46966292134831467,0.8335194396507968,8,-6.128,1,0.175025942580422,0.05009894242106617,3.401015228426396e-06,0.06847220705471224,0.6769823903303116,0.603859768550034,7bs26A9QpVsAfYuE3MQfLC,spotify:track:7bs26A9QpVsAfYuE3MQfLC,https://api.spotify.com/v1/tracks/7bs26A9QpVsAfYuE3MQfLC,https://api.spotify.com/v1/audio-analysis/7bs26A9QpVsAfYuE3MQfLC,162653,4
8,8,Fine Before You Came,Vixi,25,"['indie rock italiano', 'italian alternative', 'italian emo', 'italian indie pop', 'italian post-hardcore', 'milan indie']",D҉E҉S҉P҉A҉I҉R҉,0.302247191011236,0.9167597198253985,5,-7.027,1,0.014181943964026292,1.3423715399884096e-05,0.5147208121827411,0.3884459975974664,0.6300927373137439,0.22484683458134785,7MLBoJzx3MLsct1RYrVX3f,spotify:track:7MLBoJzx3MLsct1RYrVX3f,https://api.spotify.com/v1/tracks/7MLBoJzx3MLsct1RYrVX3f,https://api.spotify.com/v1/audio-analysis/7MLBoJzx3MLsct1RYrVX3f,286013,4
9,9,New Order,Blue Monday - 2016 Remaster,62,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",just another boring week,0.8168539325842697,0.7015531418130139,0,-9.548,1,0.059322033898305086,0.0007273806354341087,0.8934010152284263,0.05973572130610461,0.8718349484213817,0.49248468345813484,1RSy7B2vfPi84N80QJ6frX,spotify:track:1RSy7B2vfPi84N80QJ6frX,https://api.spotify.com/v1/tracks/1RSy7B2vfPi84N80QJ6frX,https://api.spotify.com/v1/audio-analysis/1RSy7B2vfPi84N80QJ6frX,450800,4
10,10,$uicideboy$,CLYDE (I Hope At Least One Of My Ex-Girlfriends Hears This),71,"['dark trap', 'new orleans rap', 'underground hip hop']",𝖑𝖆𝖘𝖙 𝖜𝖔𝖗𝖉𝖘,0.7056179775280899,0.682265759821338,7,-5.276,1,0.062435143548945006,0.12248861185499611,0.0,0.10123402861199082,0.3279149734291966,0.2928999319264805,59aL2q2UPYJkgLTSv0WTlB,spotify:track:59aL2q2UPYJkgLTSv0WTlB,https://api.spotify.com/v1/tracks/59aL2q2UPYJkgLTSv0WTlB,https://api.spotify.com/v1/audio-analysis/59aL2q2UPYJkgLTSv0WTlB,152137,4
11,11,Prozac+,Acida,52,['italian pop punk'],17,0.47415730337078654,0.9157445944574155,9,-7.531,0,0.05205811138014529,0.00019324326873714975,0.002345177664974619,0.055585890575516,0.5529853079087215,0.79286589516678,00NIByhDqGWbptOjm0dU4f,spotify:track:00NIByhDqGWbptOjm0dU4f,https://api.spotify.com/v1/tracks/00NIByhDqGWbptOjm0dU4f,https://api.spotify.com/v1/audio-analysis/00NIByhDqGWbptOjm0dU4f,157467,4
12,12,Funeral Suits,We Only Attack Ourselves,32,['shimmer pop'],【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.46404494382022476,0.230534971068927,5,-9.558,0,0.015565548253199592,0.9116464506215556,0.04842639593908629,0.0946816643005351,0.23413566739606123,0.4008781484002723,2LDepxj2UJB7xi3QKmz0kz,spotify:track:2LDepxj2UJB7xi3QKmz0kz,https://api.spotify.com/v1/tracks/2LDepxj2UJB7xi3QKmz0kz,https://api.spotify.com/v1/audio-analysis/2LDepxj2UJB7xi3QKmz0kz,201253,4
15,15,Nirvana,Lithium,71,"['grunge', 'permanent wave', 'rock']",𝔾𝔸𝕊,0.6876404494382024,0.6538422495178154,7,-6.41,1,0.024731926668972677,0.0017454544884993647,0.0,0.04674019875505079,0.48525580910701255,0.44440435670524164,5vHLwhxxlGzmClMcxRRFPr,spotify:track:5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/tracks/5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/audio-analysis/5vHLwhxxlGzmClMcxRRFPr,257053,4
16,16,Fabri Fibra,Momenti no,46,"['italian hip hop', 'rap napoletano']",hip h໐p ¢นlt,0.7269662921348314,0.7309917774845193,7,-4.464,1,0.5607056381874784,0.12750869988786226,0.0,0.13290378945069342,0.6019589455038032,0.7357249829816201,4fE5D8udvgEqCJKMqx69tl,spotify:track:4fE5D8udvgEqCJKMqx69tl,https://api.spotify.com/v1/tracks/4fE5D8udvgEqCJKMqx69tl,https://api.spotify.com/v1/audio-analysis/4fE5D8udvgEqCJKMqx69tl,259667,4
17,17,The Kooks,Naive,74,"['brighton indie', 'modern rock', 'rock']",𝔾𝔸𝕊,0.36516853932584276,0.8081413054512233,8,-6.209,0,0.11310965063991699,0.07620340019197017,0.0,0.1405482144807251,0.7478378659997915,0.288495575221239,7BHPGtpuuWWsvE7cCaMuEU,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/tracks/7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/audio-analysis/7BHPGtpuuWWsvE7cCaMuEU,203507,4
18,18,Neffa,La Mia Signorina,50,"['italian adult pop', 'italian hip hop', 'italian indie pop', 'italian underground hip hop', 'rap napoletano']",hip h໐p ¢นlt,0.8382022471910113,0.4051365343619937,9,-5.315,1,0.025077827741265997,0.10441629493667795,0.0,0.058971278803101455,0.7103261435865373,0.3821579305650102,0kM3bPNUPgxaeOf7VzRQer,spotify:track:0kM3bPNUPgxaeOf7VzRQer,https://api.spotify.com/v1/tracks/0kM3bPNUPgxaeOf7VzRQer,https://api.spotify.com/v1/audio-analysis/0kM3bPNUPgxaeOf7VzRQer,202613,4
19,19,Verdena,Sino a Notte (D.I.),34,"['bergamo indie', 'italian alternative', 'italian indie pop']",verdena,0.6584269662921349,0.6680540046695768,7,-6.153,1,0.0017295053614666198,0.0005597096951363792,0.8903553299492385,0.2049797968767063,0.631134729603001,0.2520081688223282,1IlXpN0ORg4AASY39mSODo,spotify:track:1IlXpN0ORg4AASY39mSODo,https://api.spotify.com/v1/tracks/1IlXpN0ORg4AASY39mSODo,https://api.spotify.com/v1/audio-analysis/1IlXpN0ORg4AASY39mSODo,232107,4
20,20,Black Sabbath,Children of the Grave,64,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",𝔾𝔸𝕊,0.2752808988764045,0.6558725002537813,6,-13.529,1,0.029055690072639216,0.07088210687713205,0.10558375634517765,0.07939281424047176,0.3477128269250807,0.6391354663036077,3ZuVfQriS93y6ofwbIf7lp,spotify:track:3ZuVfQriS93y6ofwbIf7lp,https://api.spotify.com/v1/tracks/3ZuVfQriS93y6ofwbIf7lp,https://api.spotify.com/v1/audio-analysis/3ZuVfQriS93y6ofwbIf7lp,314720,4
21,21,David Bowie,Starman - 2012 Remaster,76,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",space cowboy,0.4719101123595506,0.4437112983453457,5,-10.298,1,0.005015565548253199,0.16666538654421828,2.2639593908629437e-06,0.5675439554439228,0.5519433156194644,0.28953029271613345,0pQskrTITgmCMyr85tb9qq,spotify:track:0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/audio-analysis/0pQskrTITgmCMyr85tb9qq,254293,4
22,22,Pink Floyd,When You're In - 2011 Remastered Version,35,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.5112359550561798,0.5888742259669069,2,-14.216,1,0.062262193012798346,0.022689261761616963,0.9604060913705582,0.06366713989297806,0.13931436907366884,0.7223825731790334,1TZd3vb87ScRAv9ya40CXI,spotify:track:1TZd3vb87ScRAv9ya40CXI,https://api.spotify.com/v1/tracks/1TZd3vb87ScRAv9ya40CXI,https://api.spotify.com/v1/audio-analysis/1TZd3vb87ScRAv9ya40CXI,151253,4
23,23,Frah Quintale,Sotto effetto,36,"['italian hip hop', 'italian indie pop', 'milan indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.7842696629213484,0.7776875444117348,6,-7.621,0,0.6125907990314771,0.6054210806167202,0.001035532994923858,0.12089112154635798,0.7634677503386476,0.40601089176310406,2RjHQKFGzHE7ooHObB1g2S,spotify:track:2RjHQKFGzHE7ooHObB1g2S,https://api.spotify.com/v1/tracks/2RjHQKFGzHE7ooHObB1g2S,https://api.spotify.com/v1/audio-analysis/2RjHQKFGzHE7ooHObB1g2S,191704,4
24,24,Calcutta ,Le barche,34,"['italian indie pop', 'rome indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.6224719101123596,0.22444421886102936,0,-10.036,1,0.03268765133171913,0.7379514046843866,0.0,0.09904990717483891,0.491507762842555,0.45126616746085774,2FOk2KVYxFAff9XE5Q60mE,spotify:track:2FOk2KVYxFAff9XE5Q60mE,https://api.spotify.com/v1/tracks/2FOk2KVYxFAff9XE5Q60mE,https://api.spotify.com/v1/audio-analysis/2FOk2KVYxFAff9XE5Q60mE,120653,4
25,25,Pink Floyd,Obscured By Clouds - 2011 Remastered Version,39,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.26292134831460673,0.28941224241193786,2,-17.06,1,0.006745070909719819,0.007910122592859002,0.6903553299492385,0.10451021076771869,0.01979785349588413,0.7242409802586793,3Dh9hsNDVAD0fwDng0K3rq,spotify:track:3Dh9hsNDVAD0fwDng0K3rq,https://api.spotify.com/v1/tracks/3Dh9hsNDVAD0fwDng0K3rq,https://api.spotify.com/v1/audio-analysis/3Dh9hsNDVAD0fwDng0K3rq,184693,4
26,26,Crim3s,Lost,67,"['sigilkore', 'witch house']",D҉E҉S҉P҉A҉I҉R҉,0.4842696629213483,0.6487666226779008,7,-4.93,1,0.014527845036319612,0.0006038864698256013,0.0005390862944162436,0.056787157365949546,0.09346670834635823,0.42179714091218506,3xd4GVGAuzJGdVZLEKvWea,spotify:track:3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/tracks/3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/audio-analysis/3xd4GVGAuzJGdVZLEKvWea,148000,4
27,27,The Microphones,(Something),37,"['alternative rock', 'anti-folk', 'indie rock', 'lo-fi', 'lo-fi indie', 'noise pop', 'olympia wa indie']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.08764044943820223,0.017866206476499846,10,-34.003,0,0.016949152542372878,0.7489955983566922,0.9451776649746193,0.10014196789341487,0.08085860164634781,0.2834309053778081,3IguXbB3fBcTrFKgMB75x7,spotify:track:3IguXbB3fBcTrFKgMB75x7,https://api.spotify.com/v1/tracks/3IguXbB3fBcTrFKgMB75x7,https://api.spotify.com/v1/audio-analysis/3IguXbB3fBcTrFKgMB75x7,98453,4
28,28,Yung Bae,Fly With Me,41,['future funk'],ｓｈｉｂｕｙａ,0.5505617977528091,0.8731093290021318,2,-5.357,0,0.2874437910757524,0.003562726356396913,3.2182741116751267e-06,0.0855083542644971,0.5811190997186619,0.4906262763784888,5Jceu500e4SAup5qHKXJJB,spotify:track:5Jceu500e4SAup5qHKXJJB,https://api.spotify.com/v1/tracks/5Jceu500e4SAup5qHKXJJB,https://api.spotify.com/v1/audio-analysis/5Jceu500e4SAup5qHKXJJB,199385,4
29,29,Frah Quintale,Colpa Del Vino,49,"['italian hip hop', 'italian indie pop', 'milan indie']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.6887640449438204,0.6203431123743782,7,-5.352,1,0.3306814251124179,0.2971876753987383,0.0,0.08922136070765532,0.7269980202146504,0.15936010891763103,06pcJklH8rf0T5aHN64DTN,spotify:track:06pcJklH8rf0T5aHN64DTN,https://api.spotify.com/v1/tracks/06pcJklH8rf0T5aHN64DTN,https://api.spotify.com/v1/audio-analysis/06pcJklH8rf0T5aHN64DTN,173333,4
30,30,Nu Genea,Tienaté,61,"['indie napoletano', 'neapolitan funk']",august '22,0.7112359550561798,0.8061110547152573,0,-7.428,1,0.0465236942234521,0.09638415408409211,0.008517766497461929,0.35896035819591565,0.9729082004793164,0.41444520081688224,1SIXMGcsAeA6sNxaY1EG3O,spotify:track:1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/tracks/1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/audio-analysis/1SIXMGcsAeA6sNxaY1EG3O,278029,4
31,31,Bruce Springsteen,Born in the U.S.A.,72,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.3730337078651686,0.9543193584407674,4,-6.042,1,0.06433759944655829,0.0003729624203137581,7.868020304568527e-05,0.08703723927050344,0.5884130457434615,0.43682096664397546,0dOg1ySSI7NkpAe89Zo0b9,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/audio-analysis/0dOg1ySSI7NkpAe89Zo0b9,278680,4
32,32,Travis Scott,goosebumps,54,"['rap', 'slap house']",🆁🅴🅰🅻 🆃🆁🅰🅿🅿🅸🅽',0.8797752808988765,0.6264338645822759,7,-6.27,1,0.040989277066758915,0.07921545301168986,0.0,0.11979906082778202,0.4664999479003855,0.491361470388019,6dWf1xaHOmJo7eL9WuSkdL,spotify:track:6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/tracks/6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/audio-analysis/6dWf1xaHOmJo7eL9WuSkdL,243840,4
33,33,XXXTENTACION,Revenge,87,"['emo rap', 'miami hip hop']",june ‘22,0.7640449438202248,0.24271647548472236,11,-16.169,0,0.40677966101694923,0.7851402321933285,0.0020609137055837565,0.09358960358195914,0.16744816088360945,0.558713410483322,5TXDeTFVRVY7Cvt0Dw4vWW,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,https://api.spotify.com/v1/tracks/5TXDeTFVRVY7Cvt0Dw4vWW,https://api.spotify.com/v1/audio-analysis/5TXDeTFVRVY7Cvt0Dw4vWW,120027,4
34,34,Funk Shui Project,"La luna, il fumo, le persiane",37,"['italian indie pop', 'rap napoletano']",hip h໐p ¢นlt,0.551685393258427,0.5320272053598619,4,-8.972,0,0.5226565202352128,0.352408643760266,0.0,0.096865785737687,0.8707929561321246,0.571790333560245,1tH4E6wM4F0w0uXksLb2lJ,spotify:track:1tH4E6wM4F0w0uXksLb2lJ,https://api.spotify.com/v1/tracks/1tH4E6wM4F0w0uXksLb2lJ,https://api.spotify.com/v1/audio-analysis/1tH4E6wM4F0w0uXksLb2lJ,177528,3
